Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE,Unnamed: 7
2023/2/7,154.41423,154.0851275,152.5187251,156.6572484,148.732911,152.5187251,152.8166215
2023/2/8,151.6884,155.7255975,154.5712283,156.4197754,157.329772,154.5712283,154.0459333
2023/2/9,150.639999,155.8144313,155.0478466,153.3358407,148.96257,155.0478466,154.98347
2023/2/10,151.009995,152.1307458,155.3313351,148.9218845,149.591598,155.3313351,155.4366457
2023/2/13,153.850006,151.8462874,155.9307553,150.5732844,151.379991,155.9307553,155.6121756
2023/2/14,153.199997,154.1016752,155.5744366,151.5767227,156.690017,155.5744366,155.7518825
2023/2/15,155.330002,152.6855337,155.7504556,153.4968747,152.549988,155.7504556,155.9948412
2023/2/16,153.710007,154.3575746,156.6596313,155.9287923,157.460007,156.6596313,156.2691119
2023/2/17,152.550003,154.1804184,156.397249,156.0240182,152.090012,156.397249,156.454349
2023/2/21,148.479996,152.8649993,156.3061668,153.0417483,151.389999,156.3061668,154.0860391
2023/2/22,148.910004,148.4762696,149.5547017,148.2627512,144.409989,149.5547017,151.7364745
2023/2/23,149.399994,148.6021351,149.3485552,147.0703927,149.340012,149.3485552,149.5398762
2023/2/24,146.710007,148.7341219,149.7163717,147.0927456,149.889984,149.7163717,148.6504147
2023/2/27,147.919998,146.3414758,146.8863172,146.1084429,144.02002,146.8863172,148.2240919
2023/2/28,147.410004,145.721595,148.0695869,146.7737634,149.129989,148.0695869,147.3998856
2023/3/1,145.309998,145.7395195,147.2437526,146.6361434,146.90001,147.2437526,146.7565074
2023/3/2,145.910004,146.5556118,144.9561828,145.0021594,143.209992,144.9561828,145.8373973
